SampleID,Run,RUN_metadata train
K0AAAA01NB,R5044,1
K0AAAA06NB,R5044,1
ZK0AAAA19NB,R5063,1
ZK0AAAA33NB,R5063,1
ZK0AAAA40NB,R5063,1
ZK0AAAA56NB,R5063,1
ZK0AAAA28NB,R5063,1
ZK0AAAA15NB,R5063,1
ZK0AAAA53NB,R5063,1
ZK0AAAA17NB,R5063,1
ZK0AAAA22NB,R5063,1
ZK0AAAA24NB,R5063,1
ZK0AAAA25NB,R5063,1
ZK0AAAA34NB,R5063,1
ZK0AAAA35NB,R5063,1
ZK0AAAA59NB,R5083,1
ZK0AAAA61NB,R5083,1
ZK0AAAA62NB,R5083,1
ZK0AAAA63NB,R5083,1
ZK0AAAA74NB,R5083,1
ZK0AAAA92NB,R5083,1
ZK0AAAA98NB,R5083,1
ZK0AAAB43NB,R5097,1
ZK0AAAA99NB,R5119,1
ZK0AAAB01NB,R5119,1
ZK0AAAB51NB,R5119,1
ZK0AAAE79NB,R5119,1
ZK0AAAE81NB,R5119,1
ZK0AAAE82NB,R5119,1
ZK0AAAE85NB,R5119,1
ZK0AAAE86NB,R5119,1
ZK0AAAE88NB,R5119,1
ZK0AAAE92NB,R5119,1
ZK0AAAE94NB,R5119,1
ZK0AAAE95NB,R5119,1
ZK0CAAA34NB,R5151,1
ZK0CAAA27NB,R5167,1
ZK0CAAA31NB,R5167,1
ZK0CAAA50NB,R5168,1
ZK0CAAA73NB,R5168,1
ZK0CAAA75NB,R5168,1
ZK0CAAA76NB,R5168,1
ZK0AAAF20NB,R5169,1
ZK0CAAA01NB,R5169,1
ZK0CAAA04NB,R5169,1
ZK0CAAA06NB,R5169,1
ZK0CAAA11NB,R5169,1
ZK0CAAA12NB,R5169,1
ZK0CAAA13NB,R5169,1
ZK0CAAA14NB,R5169,1
ZK0CAAA15NB,R5169,1
ZK0CAAA51NB,R5170,1
ZK0AAAF29NB,R5170,1
ZK0AAAF31NB,R5170,1
ZK0AAAF33NB,R5170,1
ZK0AAAF35NB,R5170,1
ZK0AAAF43NB,R5170,1
ZK0AAAF51NB,R5170,1
ZK0CAAA64NB,R5170,1
ZK0CAAA67NB,R5184,1
ZK0DAAA02NB,R5184,1
ZK0CAAA71NB,R5184,1
ZK0CAAA72NB,R5184,1
ZK0DAAA06NB,R5184,1
ZK0DAAA12NB,R5184,1
ZK0DAAA24NB,R5184,1
ZK0DAAA32NB,R5201,1
ZK0DAAA35NB,R5201,1
ZK0AAAB67NB,R5219,1
ZK0AAAB61NB,R5219,1
ZK0AAAD48NB,R5253,1
ZK0AAAD21NB,R5253,1
ZK0AAAB71NB,R5253,1
